==========================================================
DETAILED LAGRANGEAN AUGMENTATION REPORT: (CVS DATA FORMAT)
ITER, DUAL BEST, PRIM BEST, GAP (pu), ELAPSED TIME (mseg)
78, 4735764.420433788, 0.0, -1.0, 737
79, 4735768.200812641, 0.0, -1.0, 739
80, 4735795.436300846, 0.0, -1.0, 742
81, 4735818.142012893, 0.0, -1.0, 744
82, 4735831.97613597, 0.0, -1.0, 746
83, 4735862.63096876, 0.0, -1.0, 748
84, 4735867.773687888, 0.0, -1.0, 751
85, 4735867.773687888, 0.0, -1.0, 753
86, 4735869.142218342, 0.0, -1.0, 755
87, 4735896.335078263, 0.0, -1.0, 757
88, 4735919.356572289, 0.0, -1.0, 760
89, 4735952.997634702, 0.0, -1.0, 763
90, 4735970.558542774, 0.0, -1.0, 765
91, 4735983.462222466, 0.0, -1.0, 767
92, 4735985.945601643, 0.0, -1.0, 769
93, 4736010.487589734, 0.0, -1.0, 772
94, 4736041.895877832, 0.0, -1.0, 774
95, 4736057.657521464, 0.0, -1.0, 776
96, 4736096.100282125, 0.0, -1.0, 778
97, 4736096.100282125, 0.0, -1.0, 781
98, 4736096.100282125, 0.0, -1.0, 783
99, 4736112.795125637, 0.0, -1.0, 787
100, 4736125.315423103, 0.0, -1.0, 790
101, 4736128.803754458, 0.0, -1.0, 793
102, 4736156.080535364, 0.0, -1.0, 795
103, 4736173.114297036, 0.0, -1.0, 797
104, 4736173.114297036, 0.0, -1.0, 799
105, 4736173.114297036, 0.0, -1.0, 802
106, 4736173.114297036, 0.0, -1.0, 804
107, 4736173.114297036, 0.0, -1.0, 806
108, 4736186.132014892, 0.0, -1.0, 809
109, 4736189.581295116, 0.0, -1.0, 812
110, 4736189.581295116, 0.0, -1.0, 814
111, 4736189.581295116, 0.0, -1.0, 816
112, 4736189.581295116, 0.0, -1.0, 819
113, 4736189.581295116, 0.0, -1.0, 821
114, 4736192.728152643, 0.0, -1.0, 823
115, 4736224.0629317695, 0.0, -1.0, 826
116, 4736224.0629317695, 0.0, -1.0, 828
117, 4736224.0629317695, 0.0, -1.0, 830
118, 4736224.0629317695, 0.0, -1.0, 833
119, 4736224.0629317695, 0.0, -1.0, 835
120, 4736224.0629317695, 0.0, -1.0, 838
121, 4736245.567556444, 0.0, -1.0, 840
122, 4736268.202831978, 0.0, -1.0, 842
123, 4736268.202831978, 0.0, -1.0, 845
124, 4736268.202831978, 0.0, -1.0, 847
125, 4736268.202831978, 0.0, -1.0, 850
126, 4736268.202831978, 0.0, -1.0, 853
127, 4736270.210972345, 0.0, -1.0, 855
128, 4736270.210972345, 0.0, -1.0, 857
129, 4736298.0467480775, 0.0, -1.0, 860
130, 4736298.0467480775, 0.0, -1.0, 862
131, 4736298.0467480775, 0.0, -1.0, 865
132, 4736298.0467480775, 0.0, -1.0, 867
133, 4736298.3072173055, 0.0, -1.0, 870
134, 4736324.377827879, 0.0, -1.0, 872
135, 4736324.377827879, 0.0, -1.0, 874
136, 4736324.377827879, 0.0, -1.0, 876
137, 4736324.377827879, 0.0, -1.0, 884
138, 4736324.377827879, 0.0, -1.0, 886
139, 4736324.377827879, 0.0, -1.0, 889
140, 4736324.377827879, 0.0, -1.0, 916
141, 4736324.377827879, 0.0, -1.0, 919
142, 4736324.377827879, 0.0, -1.0, 921
143, 4736324.377827879, 0.0, -1.0, 924
144, 4736324.377827879, 0.0, -1.0, 926
145, 4736324.377827879, 0.0, -1.0, 929
146, 4736328.425901557, 0.0, -1.0, 931
147, 4736345.000767005, 0.0, -1.0, 933
148, 4736380.337387538, 0.0, -1.0, 936
149, 4736380.337387538, 0.0, -1.0, 938
150, 4736380.337387538, 0.0, -1.0, 943
151, 4736380.337387538, 0.0, -1.0, 945
152, 4736380.337387538, 0.0, -1.0, 947
153, 4736380.337387538, 0.0, -1.0, 950
154, 4736392.211255239, 0.0, -1.0, 952
155, 4736403.1424245555, 0.0, -1.0, 955
156, 4736403.1424245555, 0.0, -1.0, 958
157, 4736403.1424245555, 0.0, -1.0, 960
158, 4736407.538173808, 0.0, -1.0, 962
159, 4736407.538173808, 0.0, -1.0, 964
160, 4736407.538173808, 0.0, -1.0, 967
161, 4736425.27837298, 0.0, -1.0, 969
162, 4736425.27837298, 0.0, -1.0, 971
163, 4736425.27837298, 0.0, -1.0, 974
164, 4736428.568259774, 0.0, -1.0, 976
165, 4736558.744328928, 0.0, -1.0, 978
166, 4736558.744328928, 0.0, -1.0, 980
167, 4736558.744328928, 0.0, -1.0, 983
168, 4736558.744328928, 0.0, -1.0, 985
169, 4736558.744328928, 0.0, -1.0, 988
170, 4736558.744328928, 0.0, -1.0, 990
171, 4736558.744328928, 0.0, -1.0, 992
172, 4736558.744328928, 0.0, -1.0, 994
173, 4736558.744328928, 0.0, -1.0, 997
174, 4736558.744328928, 0.0, -1.0, 999
175, 4736558.744328928, 0.0, -1.0, 1002
176, 4736558.744328928, 0.0, -1.0, 1005
177, 4736558.744328928, 0.0, -1.0, 1008
178, 4736558.744328928, 0.0, -1.0, 1016
179, 4736558.744328928, 0.0, -1.0, 1019
180, 4736558.744328928, 0.0, -1.0, 1021
181, 4736558.744328928, 0.0, -1.0, 1023
182, 4736558.744328928, 0.0, -1.0, 1025
183, 4736558.744328928, 0.0, -1.0, 1028
184, 4736558.744328928, 0.0, -1.0, 1030
185, 4736558.744328928, 0.0, -1.0, 1032
186, 4736558.744328928, 0.0, -1.0, 1034
187, 4736558.744328928, 0.0, -1.0, 1036
188, 4736558.744328928, 0.0, -1.0, 1039
189, 4736558.744328928, 0.0, -1.0, 1041
190, 4736558.744328928, 0.0, -1.0, 1043
191, 4736558.744328928, 0.0, -1.0, 1045
192, 4736558.744328928, 0.0, -1.0, 1047
193, 4736561.137963095, 0.0, -1.0, 1049
194, 4736561.137963095, 0.0, -1.0, 1052
195, 4736561.137963095, 0.0, -1.0, 1054
196, 4736561.137963095, 0.0, -1.0, 1063
197, 4736561.137963095, 0.0, -1.0, 1065
198, 4736579.250412774, 0.0, -1.0, 1068
199, 4736579.250412774, 0.0, -1.0, 1070
200, 4736579.250412774, 0.0, -1.0, 1073
201, 4736579.250412774, 0.0, -1.0, 1075
202, 4736579.250412774, 0.0, -1.0, 1077
203, 4736579.250412774, 0.0, -1.0, 1079
204, 4736579.250412774, 0.0, -1.0, 1081
205, 4736584.9661167925, 0.0, -1.0, 1083
206, 4736584.9661167925, 0.0, -1.0, 1086
207, 4736584.9661167925, 0.0, -1.0, 1103
208, 4736584.9661167925, 0.0, -1.0, 1106
209, 4736584.9661167925, 0.0, -1.0, 1108
210, 4736584.9661167925, 0.0, -1.0, 1110
211, 4736586.742253781, 0.0, -1.0, 1112
212, 4736619.577000006, 0.0, -1.0, 1114
213, 4736619.577000006, 0.0, -1.0, 1117
214, 4736619.577000006, 0.0, -1.0, 1119
215, 4736619.577000006, 0.0, -1.0, 1121
216, 4736619.577000006, 0.0, -1.0, 1123
217, 4736619.577000006, 0.0, -1.0, 1125
218, 4736619.577000006, 0.0, -1.0, 1127
219, 4736631.63640831, 0.0, -1.0, 1130
220, 4736662.033752854, 0.0, -1.0, 1132
221, 4736662.033752854, 0.0, -1.0, 1135
222, 4736662.033752854, 0.0, -1.0, 1137
223, 4736662.033752854, 0.0, -1.0, 1139
224, 4736662.033752854, 0.0, -1.0, 1141
225, 4736668.554655285, 0.0, -1.0, 1144
226, 4736675.46789293, 0.0, -1.0, 1146
227, 4736700.273365796, 0.0, -1.0, 1148
228, 4736700.273365796, 0.0, -1.0, 1151
229, 4736700.273365796, 0.0, -1.0, 1153
230, 4736700.273365796, 0.0, -1.0, 1155
231, 4736700.273365796, 0.0, -1.0, 1157
232, 4736700.273365796, 0.0, -1.0, 1159
233, 4736700.273365796, 0.0, -1.0, 1161
234, 4736700.273365796, 0.0, -1.0, 1164
235, 4736700.273365796, 0.0, -1.0, 1166
236, 4736700.273365796, 0.0, -1.0, 1168
237, 4736700.273365796, 0.0, -1.0, 1170
238, 4736700.273365796, 0.0, -1.0, 1172
239, 4736705.158944186, 0.0, -1.0, 1174
240, 4736705.158944186, 0.0, -1.0, 1177
241, 4736705.158944186, 0.0, -1.0, 1179
242, 4736705.158944186, 0.0, -1.0, 1181
243, 4736705.158944186, 0.0, -1.0, 1183
244, 4736705.158944186, 0.0, -1.0, 1185
245, 4736845.915283197, 0.0, -1.0, 1187
246, 4736845.915283197, 0.0, -1.0, 1190
247, 4736845.915283197, 0.0, -1.0, 1192
248, 4736845.915283197, 0.0, -1.0, 1194
249, 4736845.915283197, 0.0, -1.0, 1196
250, 4736845.915283197, 0.0, -1.0, 1198
251, 4736845.915283197, 0.0, -1.0, 1200
252, 4736845.915283197, 0.0, -1.0, 1203
253, 4736845.915283197, 0.0, -1.0, 1205
254, 4736845.915283197, 0.0, -1.0, 1207
255, 4736845.915283197, 0.0, -1.0, 1209
256, 4736845.915283197, 0.0, -1.0, 1211
257, 4736845.915283197, 0.0, -1.0, 1213
258, 4736845.915283197, 0.0, -1.0, 1215
259, 4736845.915283197, 0.0, -1.0, 1218
260, 4736845.915283197, 0.0, -1.0, 1220
261, 4736845.915283197, 0.0, -1.0, 1222
262, 4736845.915283197, 0.0, -1.0, 1224
263, 4736845.915283197, 0.0, -1.0, 1226
264, 4736845.915283197, 0.0, -1.0, 1228
265, 4736845.915283197, 0.0, -1.0, 1230
266, 4736845.915283197, 0.0, -1.0, 1233
267, 4736845.915283197, 0.0, -1.0, 1235
268, 4736845.915283197, 0.0, -1.0, 1237
269, 4736845.915283197, 0.0, -1.0, 1239
270, 4736845.915283197, 0.0, -1.0, 1241
271, 4736845.915283197, 0.0, -1.0, 1243
272, 4736845.915283197, 0.0, -1.0, 1246
273, 4736845.915283197, 0.0, -1.0, 1256
274, 4736845.915283197, 0.0, -1.0, 1258
275, 4736845.915283197, 0.0, -1.0, 1260
276, 4736845.915283197, 0.0, -1.0, 1262
277, 4736845.915283197, 0.0, -1.0, 1264
278, 4736845.915283197, 0.0, -1.0, 1266
279, 4736845.915283197, 0.0, -1.0, 1268
280, 4736863.6194402985, 0.0, -1.0, 1270
281, 4736863.6194402985, 0.0, -1.0, 1272
282, 4736863.6194402985, 0.0, -1.0, 1274
283, 4736863.6194402985, 0.0, -1.0, 1276
284, 4736863.6194402985, 0.0, -1.0, 1278
285, 4736863.6194402985, 0.0, -1.0, 1280
286, 4736863.6194402985, 0.0, -1.0, 1282
287, 4736881.408021908, 0.0, -1.0, 1284
288, 4736881.408021908, 0.0, -1.0, 1286
289, 4736881.408021908, 0.0, -1.0, 1288
290, 4736881.408021908, 0.0, -1.0, 1290
291, 4736881.408021908, 0.0, -1.0, 1292
292, 4736881.408021908, 0.0, -1.0, 1294
293, 4736893.46985136, 0.0, -1.0, 1296
294, 4736893.46985136, 0.0, -1.0, 1298
295, 4736893.46985136, 0.0, -1.0, 1300
296, 4736893.46985136, 0.0, -1.0, 1302
297, 4736893.46985136, 0.0, -1.0, 1304
298, 4736893.46985136, 0.0, -1.0, 1306
299, 4736904.421736639, 0.0, -1.0, 1308
300, 4736909.712859192, 0.0, -1.0, 1310
301, 4736909.712859192, 0.0, -1.0, 1312
302, 4736909.712859192, 0.0, -1.0, 1314
303, 4736909.712859192, 0.0, -1.0, 1316
304, 4736909.712859192, 0.0, -1.0, 1318
305, 4736909.712859192, 0.0, -1.0, 1320
306, 4736917.86056652, 0.0, -1.0, 1322
307, 4736922.728099661, 0.0, -1.0, 1325
308, 4736922.728099661, 0.0, -1.0, 1327
309, 4736922.728099661, 0.0, -1.0, 1329
310, 4736922.728099661, 0.0, -1.0, 1331
311, 4736922.728099661, 0.0, -1.0, 1333
312, 4736922.728099661, 0.0, -1.0, 1335
313, 4736922.728099661, 0.0, -1.0, 1337
314, 4736922.728099661, 0.0, -1.0, 1339
315, 4736922.728099661, 0.0, -1.0, 1341
316, 4736922.728099661, 0.0, -1.0, 1344
317, 4736922.728099661, 0.0, -1.0, 1346
318, 4736922.728099661, 0.0, -1.0, 1348
319, 4736922.728099661, 0.0, -1.0, 1350
320, 4736935.612180272, 0.0, -1.0, 1352
321, 4736935.612180272, 0.0, -1.0, 1354
322, 4736935.612180272, 0.0, -1.0, 1357
323, 4736935.612180272, 0.0, -1.0, 1359
324, 4737063.457075213, 0.0, -1.0, 1361
325, 4737063.457075213, 0.0, -1.0, 1363
326, 4737063.457075213, 0.0, -1.0, 1366
327, 4737063.457075213, 0.0, -1.0, 1368
328, 4737063.457075213, 0.0, -1.0, 1370
329, 4737063.457075213, 0.0, -1.0, 1373
330, 4737063.457075213, 0.0, -1.0, 1375
331, 4737063.457075213, 0.0, -1.0, 1377
332, 4737063.457075213, 0.0, -1.0, 1379
333, 4737063.457075213, 0.0, -1.0, 1382
334, 4737063.457075213, 0.0, -1.0, 1384
335, 4737063.457075213, 0.0, -1.0, 1387
336, 4737063.457075213, 0.0, -1.0, 1389
337, 4737063.457075213, 0.0, -1.0, 1391
338, 4737063.457075213, 0.0, -1.0, 1393
339, 4737063.457075213, 0.0, -1.0, 1396
340, 4737063.457075213, 0.0, -1.0, 1398
341, 4737063.457075213, 0.0, -1.0, 1401
342, 4737063.457075213, 0.0, -1.0, 1403
343, 4737063.457075213, 0.0, -1.0, 1406
344, 4737063.457075213, 0.0, -1.0, 1408
345, 4737063.457075213, 0.0, -1.0, 1411
346, 4737063.457075213, 0.0, -1.0, 1413
347, 4737063.457075213, 0.0, -1.0, 1415
348, 4737063.457075213, 0.0, -1.0, 1418
349, 4737063.457075213, 0.0, -1.0, 1420
350, 4737063.457075213, 0.0, -1.0, 1423
351, 4737063.457075213, 0.0, -1.0, 1425
352, 4737063.457075213, 0.0, -1.0, 1427
353, 4737063.457075213, 0.0, -1.0, 1429
354, 4737063.457075213, 0.0, -1.0, 1432
355, 4737063.457075213, 0.0, -1.0, 1434
356, 4737063.457075213, 0.0, -1.0, 1437
357, 4737063.457075213, 0.0, -1.0, 1439
358, 4737063.457075213, 0.0, -1.0, 1441
359, 4737063.457075213, 0.0, -1.0, 1443
360, 4737063.457075213, 0.0, -1.0, 1446
361, 4737063.457075213, 0.0, -1.0, 1448
362, 4737063.457075213, 0.0, -1.0, 1450
363, 4737063.457075213, 0.0, -1.0, 1453
364, 4737063.457075213, 0.0, -1.0, 1455
365, 4737063.457075213, 0.0, -1.0, 1457
366, 4737063.457075213, 0.0, -1.0, 1459
367, 4737063.457075213, 0.0, -1.0, 1462
368, 4737063.457075213, 0.0, -1.0, 1464
369, 4737063.457075213, 0.0, -1.0, 1467
370, 4737063.457075213, 0.0, -1.0, 1469
371, 4737063.457075213, 0.0, -1.0, 1473
372, 4737063.457075213, 0.0, -1.0, 1475
373, 4737063.457075213, 0.0, -1.0, 1477
374, 4737063.457075213, 0.0, -1.0, 1480
375, 4737063.457075213, 0.0, -1.0, 1482
376, 4737063.457075213, 0.0, -1.0, 1484
377, 4737063.457075213, 0.0, -1.0, 1487
378, 4737063.457075213, 0.0, -1.0, 1489
379, 4737063.457075213, 0.0, -1.0, 1491
380, 4737063.457075213, 0.0, -1.0, 1494
381, 4737063.457075213, 0.0, -1.0, 1496
382, 4737063.457075213, 0.0, -1.0, 1498
383, 4737063.457075213, 0.0, -1.0, 1500
384, 4737063.457075213, 0.0, -1.0, 1503
385, 4737063.457075213, 0.0, -1.0, 1505
386, 4737063.457075213, 0.0, -1.0, 1508
387, 4737063.457075213, 0.0, -1.0, 1510
388, 4737063.457075213, 0.0, -1.0, 1512
389, 4737063.457075213, 0.0, -1.0, 1515
390, 4737063.457075213, 0.0, -1.0, 1517
391, 4737063.457075213, 0.0, -1.0, 1519
392, 4737063.457075213, 0.0, -1.0, 1522
393, 4737063.457075213, 0.0, -1.0, 1524
394, 4737063.457075213, 0.0, -1.0, 1526
395, 4737063.457075213, 0.0, -1.0, 1529
396, 4737063.457075213, 0.0, -1.0, 1531
397, 4737063.457075213, 0.0, -1.0, 1534
398, 4737063.457075213, 0.0, -1.0, 1536
399, 4737063.457075213, 0.0, -1.0, 1539
400, 4737063.457075213, 0.0, -1.0, 1541
401, 4737177.157396623, 0.0, -1.0, 1543
402, 4737177.157396623, 0.0, -1.0, 1546
403, 4737177.157396623, 0.0, -1.0, 1548
404, 4737177.157396623, 0.0, -1.0, 1550
405, 4737177.157396623, 0.0, -1.0, 1553
406, 4737177.157396623, 0.0, -1.0, 1555
407, 4737177.157396623, 0.0, -1.0, 1557
408, 4737177.157396623, 0.0, -1.0, 1559
409, 4737177.157396623, 0.0, -1.0, 1562
410, 4737177.157396623, 0.0, -1.0, 1564
411, 4737177.157396623, 0.0, -1.0, 1566
412, 4737177.157396623, 0.0, -1.0, 1569
413, 4737177.157396623, 0.0, -1.0, 1571
414, 4737177.157396623, 0.0, -1.0, 1574
415, 4737177.157396623, 0.0, -1.0, 1591
416, 4737177.157396623, 0.0, -1.0, 1593
417, 4737177.157396623, 0.0, -1.0, 1596
418, 4737177.157396623, 0.0, -1.0, 1598
419, 4737177.157396623, 0.0, -1.0, 1600
420, 4737177.157396623, 0.0, -1.0, 1603
421, 4737177.157396623, 0.0, -1.0, 1605
422, 4737177.157396623, 0.0, -1.0, 1607
423, 4737177.157396623, 0.0, -1.0, 1609
424, 4737177.157396623, 0.0, -1.0, 1611
425, 4737177.157396623, 0.0, -1.0, 1614
426, 4737177.157396623, 0.0, -1.0, 1616
427, 4737177.157396623, 0.0, -1.0, 1618
428, 4737177.157396623, 0.0, -1.0, 1621
429, 4737177.157396623, 0.0, -1.0, 1623
430, 4737177.157396623, 0.0, -1.0, 1625
431, 4737177.157396623, 0.0, -1.0, 1628
432, 4737177.157396623, 0.0, -1.0, 1630
433, 4737177.157396623, 0.0, -1.0, 1633
434, 4737177.157396623, 0.0, -1.0, 1635
435, 4737177.157396623, 0.0, -1.0, 1637
436, 4737177.157396623, 0.0, -1.0, 1640
437, 4737177.157396623, 0.0, -1.0, 1642
438, 4737177.157396623, 0.0, -1.0, 1644
439, 4737177.157396623, 0.0, -1.0, 1646
440, 4737177.157396623, 0.0, -1.0, 1649
441, 4737177.157396623, 0.0, -1.0, 1651
442, 4737177.157396623, 0.0, -1.0, 1653
443, 4737177.157396623, 0.0, -1.0, 1655
444, 4737177.157396623, 0.0, -1.0, 1658
445, 4737177.157396623, 0.0, -1.0, 1660
446, 4737177.157396623, 0.0, -1.0, 1662
447, 4737177.157396623, 0.0, -1.0, 1665
448, 4737177.157396623, 0.0, -1.0, 1667
449, 4737177.157396623, 0.0, -1.0, 1669
450, 4737177.157396623, 0.0, -1.0, 1671
451, 4737177.157396623, 0.0, -1.0, 1674
452, 4737177.157396623, 0.0, -1.0, 1676
453, 4737177.157396623, 0.0, -1.0, 1678
454, 4737177.157396623, 0.0, -1.0, 1681
455, 4737177.157396623, 0.0, -1.0, 1684
456, 4737177.157396623, 0.0, -1.0, 1686
457, 4737177.157396623, 0.0, -1.0, 1719
458, 4737177.157396623, 0.0, -1.0, 1728
459, 4737177.157396623, 0.0, -1.0, 1729
460, 4737177.157396623, 0.0, -1.0, 1732
461, 4737177.157396623, 0.0, -1.0, 1733
462, 4737177.157396623, 0.0, -1.0, 1735
463, 4737177.157396623, 0.0, -1.0, 1737
464, 4737177.157396623, 0.0, -1.0, 1739
465, 4737177.157396623, 0.0, -1.0, 1741
466, 4737177.157396623, 0.0, -1.0, 1747
467, 4737177.157396623, 0.0, -1.0, 1749
468, 4737323.441140707, 0.0, -1.0, 1751
469, 4737323.441140707, 0.0, -1.0, 1753
470, 4737323.441140707, 0.0, -1.0, 1755
471, 4737323.441140707, 0.0, -1.0, 1757
472, 4737323.441140707, 0.0, -1.0, 1759
473, 4737323.441140707, 0.0, -1.0, 1761
474, 4737323.441140707, 0.0, -1.0, 1763
475, 4737323.441140707, 0.0, -1.0, 1765
476, 4737323.441140707, 0.0, -1.0, 1767
477, 4737323.441140707, 0.0, -1.0, 1769
478, 4737323.441140707, 0.0, -1.0, 1771
479, 4737323.441140707, 0.0, -1.0, 1773
480, 4737323.441140707, 0.0, -1.0, 1775
481, 4737323.441140707, 0.0, -1.0, 1777
482, 4737323.441140707, 0.0, -1.0, 1779
483, 4737323.441140707, 0.0, -1.0, 1781
484, 4737323.441140707, 0.0, -1.0, 1783
485, 4737323.441140707, 0.0, -1.0, 1785
486, 4737323.441140707, 0.0, -1.0, 1787
487, 4737323.441140707, 0.0, -1.0, 1788
488, 4737323.441140707, 0.0, -1.0, 1790
489, 4737323.441140707, 0.0, -1.0, 1792
490, 4737323.441140707, 0.0, -1.0, 1794
491, 4737323.441140707, 0.0, -1.0, 1796
492, 4737323.441140707, 0.0, -1.0, 1798
493, 4737323.441140707, 0.0, -1.0, 1800
494, 4737323.441140707, 0.0, -1.0, 1802
495, 4737323.441140707, 0.0, -1.0, 1804
496, 4737323.441140707, 0.0, -1.0, 1806
497, 4737323.441140707, 0.0, -1.0, 1808
498, 4737323.441140707, 0.0, -1.0, 1810
499, 4737323.441140707, 0.0, -1.0, 1812
500, 4737323.441140707, 0.0, -1.0, 1814
==========================================================
 
 
